ResultID,Date,ProductID,CustomerID,Quantity,Revenue
1,2024-01-01,101,1,12,9600
2,2024-01-01,102,2,8,4800
3,2024-01-01,103,3,5,6000
4,2024-01-01,104,4,15,6000
5,2024-01-01,105,5,20,6000
6,2024-01-02,106,6,10,2000
7,2024-01-02,107,7,6,7200
8,2024-01-02,108,8,8,4800
9,2024-01-02,109,9,12,7200
10,2024-01-02,110,10,15,2250
11,2024-01-03,111,11,4,6000
12,2024-01-03,112,12,6,600
13,2024-01-03,113,13,10,2500
14,2024-01-03,114,14,8,480
15,2024-01-03,115,15,12,3600
16,2024-01-04,116,16,8,4000
17,2024-01-04,117,17,10,1500
18,2024-01-04,118,18,12,1440
19,2024-01-04,119,19,6,2400
20,2024-01-04,120,20,15,4500
21,2024-01-05,121,21,8,320
22,2024-01-05,122,22,10,2000
23,2024-01-05,123,23,6,900
24,2024-01-05,124,24,12,1800
25,2024-01-05,125,25,15,4500
26,2024-01-06,126,26,10,800
27,2024-01-06,127,27,8,1600
28,2024-01-06,128,28,12,1800
29,2024-01-06,129,29,6,720
30,2024-01-06,130,30,15,900
31,2024-01-07,131,31,4,400
32,2024-01-07,132,32,6,1200
33,2024-01-07,133,33,10,1000
34,2024-01-07,134,34,8,1600
35,2024-01-07,135,35,12,3600
36,2024-01-08,136,36,10,2000
37,2024-01-08,137,37,8,320
38,2024-01-08,138,38,12,1800
39,2024-01-08,139,39,6,240
40,2024-01-08,140,40,15,4500
41,2024-01-09,141,41,8,480
42,2024-01-09,142,42,10,1200
43,2024-01-09,143,43,6,480
44,2024-01-09,144,44,12,2400
45,2024-01-09,145,45,15,600
46,2024-01-10,146,46,10,800
47,2024-01-10,147,47,8,320
48,2024-01-10,148,48,12,1440
49,2024-01-10,149,49,6,360
50,2024-01-10,150,50,15,1200
51,2024-01-11,101,51,12,9600
52,2024-01-11,102,52,8,4800
53,2024-01-11,103,53,5,6000
54,2024-01-11,104,55,15,6000
55,2024-01-11,105,56,20,6000
56,2024-01-12,106,57,10,2000
57,2024-01-12,107,58,6,7200
58,2024-01-12,108,59,8,4800
59,2024-01-12,109,60,12,7200
60,2024-01-12,110,31,15,2250
61,2024-01-13,111,61,4,6000
62,2024-01-13,112,62,6,600
63,2024-01-13,113,63,10,2500
64,2024-01-13,114,64,8,480
65,2024-01-13,115,65,12,3600
66,2024-01-14,116,66,8,4000
67,2024-01-14,117,67,10,1500
68,2024-01-14,118,68,12,1440
69,2024-01-14,119,69,6,2400
70,2024-01-14,120,70,15,4500
71,2024-01-15,121,71,8,320
72,2024-01-15,122,72,10,2000
73,2024-01-15,123,73,6,900
74,2024-01-15,124,74,12,1800
75,2024-01-15,125,75,15,4500
76,2024-01-15,126,76,10,2000
77,2024-01-15,127,77,6,900
78,2024-01-15,128,78,12,1800
79,2024-01-15,128,79,15,4500
80,2024-01-13,113,80,10,2500
81,2024-01-13,114,14,8,480
82,2024-01-13,115,15,12,3600
83,2024-01-14,116,16,8,4000
84,2024-01-14,117,17,10,1500
85,2024-01-14,118,18,12,1440
86,2024-01-14,119,19,6,2400
87,2024-01-14,120,20,15,4500
88,2024-01-15,121,21,8,320
89,2024-01-15,122,22,10,2000
90,2024-01-15,123,23,6,900
91,2024-01-15,124,24,12,1800
92,2024-01-15,125,25,15,4500
93,2024-01-15,126,22,10,2000
94,2024-01-15,127,23,6,900
95,2024-01-15,128,24,12,1800
96,2024-01-15,128,25,15,4500
97,2024-01-13,114,14,8,480
98,2024-01-13,115,15,12,3600
99,2024-01-14,116,16,8,4000
100,2024-01-14,117,17,10,1500
101,2024-01-14,118,18,12,1440
102,2024-01-14,119,19,6,2400
103,2024-01-14,120,20,15,4500
104,2024-01-15,121,21,8,320
105,2024-01-15,122,22,10,2000
106,2024-01-15,123,23,6,900
107,2024-01-15,124,24,12,1800
108,2024-01-15,125,25,15,4500
109,2024-01-15,126,22,10,2000
110,2024-01-15,127,23,6,900
111,2024-01-15,128,24,12,1800
112,2024-01-15,128,25,15,4500
113,2024-01-15,124,24,12,1800
114,2024-01-15,125,25,15,4500
115,2024-01-15,126,22,10,2000
116,2024-01-15,127,23,6,900
117,2024-01-15,128,24,12,1800
118,2024-01-15,128,25,15,4500
119,2024-01-15,124,24,12,1800
120,2024-01-15,125,25,15,4500
121,2024-01-15,126,22,10,2000
122,2024-01-15,127,23,6,900
123,2024-01-15,128,24,12,1800
124,2024-01-15,128,25,15,4500
125,2024-01-15,124,24,12,1800
126,2024-01-15,125,25,15,4500
127,2024-01-15,126,22,10,2000
128,2024-01-15,127,23,6,900
129,2024-01-15,128,24,12,1800
130,2024-01-15,128,25,15,4500
131,2024-01-15,124,24,12,1800
132,2024-01-15,125,25,15,4500
133,2024-01-15,126,22,10,2000
134,2024-01-15,127,23,6,900
135,2024-01-15,128,24,12,1800
136,2024-01-15,128,25,15,4500
137,2024-01-15,124,24,12,1800
138,2024-01-15,125,25,15,4500
139,2024-01-15,126,22,10,2000
140,2024-01-15,127,23,6,900
141,2024-01-15,128,24,12,1800
142,2024-01-15,128,25,15,4500
143,2024-01-15,124,24,12,1800
144,2024-01-15,125,25,15,4500
145,2024-01-15,126,22,10,2000
146,2024-01-15,127,23,6,900
147,2024-01-15,128,24,12,1800
148,2024-01-15,128,25,15,4500
149,2024-01-15,124,24,12,1800
150,2024-01-15,125,25,15,4500
151,2024-01-15,126,22,10,2000
152,2024-01-15,127,23,6,900
153,2024-01-15,128,24,12,1800
154,2024-01-15,128,25,15,4500
155,2024-01-15,124,24,12,1800
156,2024-01-15,125,25,15,4500
157,2024-01-15,126,22,10,2000
158,2024-01-15,127,23,6,900
159,2024-01-15,128,24,12,1800
160,2024-01-15,128,25,15,4500
